"Large object passed by value","An object larger than 64 bytes is passed by value to a function. Passing large objects by value unnecessarily use up scarce stack space, increase the cost of calling a function and can be a security risk. Use a const pointer to the object instead.","recommendation","This parameter of type [[""SourceLocation""|""relative:///src/google/protobuf/descriptor.h:148:8:148:21""]] is 104 bytes - consider passing a const pointer/reference instead.","/src/google/protobuf/compiler/csharp/csharp_doc_comment.cc","49","67","49","74"
"Large object passed by value","An object larger than 64 bytes is passed by value to a function. Passing large objects by value unnecessarily use up scarce stack space, increase the cost of calling a function and can be a security risk. Use a const pointer to the object instead.","recommendation","This parameter of type [[""StatusOr<basic_string<char, char_traits<char>, allocator<char>>>""|""relative:///src/google/protobuf/stubs/statusor.h:99:7:99:14""]] is 72 bytes - consider passing a const pointer/reference instead.","/src/google/protobuf/stubs/status_macros.h","61","45","61","50"
"Resource not released in destructor","All resources acquired by a class should be released by its destructor. Avoid the use of the 'open / close' pattern, since C++ constructors and destructors provide a safer way to handle resource acquisition and release. Best practice in C++ is to use the 'RAII' technique: constructors allocate resources and destructors free them.","warning","Resource ptr_ is acquired by class ArenaStringPtr but not released in the destructor. It is released from DestroyNoArena on line 262, so this function may need to be called from the destructor.
Resource ptr_ is acquired by class ArenaStringPtr but not released in the destructor. It is released from Destroy on line 212, so this function may need to be called from the destructor.","/src/google/protobuf/arenastring.h","297","5","297","44"
"Missing header guard","Header files should contain header guards (#defines to prevent the file from being included twice). This prevents errors and inefficiencies caused by repeated inclusion.","warning","This header file should contain a header guard to prevent multiple inclusion.","/src/google/protobuf/compiler/zip_writer.h","0","0","0","0"
"Comparison result is always the same","When a comparison operation, such as x < y, always returns the same result, it means that the comparison is redundant and may mask a bug because a different check was intended.","warning","Comparison is always false because num_weak_fields <= 0.","/src/google/protobuf/dynamic_message.cc","830","31","830","49"
"Comparison result is always the same","When a comparison operation, such as x < y, always returns the same result, it means that the comparison is redundant and may mask a bug because a different check was intended.","warning","Comparison is always true because result <= -1.","/src/google/protobuf/stubs/stringprintf.cc","85","9","85","18"
"Assignment where comparison was intended","The '=' operator may have been used accidentally, where '==' was intended.","error","Use of '=' where '==' may have been intended.","/src/google/protobuf/compiler/cpp/cpp_message.cc","1078","22","1078","40"
"Empty branch of conditional","An empty block after a conditional can be a sign of an omission and can decrease maintainability of the code. Such blocks should contain an explanatory comment to aid future maintainers.","recommendation","Empty block without comment","/src/google/protobuf/any.pb.h","387","25","389","3"
"Empty branch of conditional","An empty block after a conditional can be a sign of an omission and can decrease maintainability of the code. Such blocks should contain an explanatory comment to aid future maintainers.","recommendation","Empty block without comment","/src/google/protobuf/any.pb.h","389","10","391","3"
"Empty branch of conditional","An empty block after a conditional can be a sign of an omission and can decrease maintainability of the code. Such blocks should contain an explanatory comment to aid future maintainers.","recommendation","Empty block without comment","/src/google/protobuf/any.pb.h","325","28","327","3"
